"","r.mean_z"
"NANOG",2.56414964932455
"H2AZ",2.31632751074858
"OTX2",2.2819166605401
"TEAD4",1.95705565579115
"YY1",1.90668442023405
"RAD21",1.89823779416144
"ZNF143",1.75541061585792
"TRIM28",1.68086947439108
"CTCF",1.6275997695341
"MAX",1.58598340046113
"SMARCA4",1.58092473941251
"EP300",1.53470165911411
"USF1",1.41844666308516
"SRF",1.31524091201314
"FOXP1",1.28662176900652
"NIPBL",1.26566150903926
"ATF2",1.12204043649024
"SP1",1.09733352432229
"JUND",1.0233562757724
"E2F6",0.855598546211591
"CREB1",0.828269098084641
"TCF12",0.793207005947181
"SSU72",0.650033419511447
"WAPL",0.633091814967489
"GABPA",0.597776555548215
"SIN3A",0.585412035347578
"POLR2A",0.582837380920286
"SP4",0.529101864272681
"REST",0.482450156523878
"CHD2",0.41859991123835
"MAFK",0.257594830734988
"SMC3",0.252205856743748
"TAF7",0.248822363534303
"TBP",0.21882824465813
"BACH1",0.128893910247881
"EGR1",0.100510801781329
"CTBP2",0.0978459223901909
"POU5F1",0.0805932724372418
"MXI1",0.0184237148026867
"RBBP5",-0.0292991423954244
"HDAC2",-0.0434623906280356
"FOXH1",-0.0654147938070684
"USF2",-0.133385127768116
"SMC1A",-0.142103851023282
"MYC",-0.171973916758245
"GTF2F1",-0.244781413647136
"CHD7",-0.293762097286102
"KDM4A",-0.299041793810722
"SMAD4",-0.3066071180547
"BRCA1",-0.310377173041153
"TAF1",-0.312688296062617
"SOX2",-0.318893308464071
"SAP30",-0.358256325888979
"SMAD2",-0.366426694528535
"PRDM14",-0.37214433402852
"LEF1",-0.397967760367473
"ATF3",-0.44479410714459
"ZNF274",-0.477748952519271
"ZNF486",-0.503307769564721
"RXRA",-0.504749064664385
"PHF8",-0.513101033998338
"SMAD3",-0.514027994419783
"BCL11A",-0.601468314365702
"TCF4",-0.605885819490529
"JUN",-0.606215186612974
"MED1",-0.608351484496051
"TAFII",-0.632461686807401
"RFX5",-0.648732794033456
"NRF1",-0.662644975272652
"EZH2",-0.715340781066053
"TAL1",-0.72808542348695
"SUZ12",-0.73130134994501
"CHD1",-0.732088411036884
"PRDM1",-0.75550809596677
"MORC2",-0.763358311570212
"SIX5",-0.767366782802276
"SMAD1",-0.768027163907605
"SP2",-0.784896293045527
"KDM5A",-0.787626812153339
"FOSL1",-0.844529076390382
"KLF5",-0.866228682426339
"FOXM1",-0.888378154613827
"BRD2",-0.904564682775911
"MPHOSPH8",-0.914626342075614
"TP53",-0.92582807873269
"TCF7L1",-0.927289190790768
"SOX9",-0.9378101591572
"SIRT6",-0.942504685775598
"HDAC6",-0.952920644820704
"BRD4",-0.95580764066917
"KDM5B",-0.956654711625065
"ZFP42",-0.957783639679952
"STAT3",-0.965222981438962
"KLF4",-0.970000639874466
"SALL4",-0.997409421882755
"HIST1H1B",-1.0345951224697
"NR5A2",-1.05446358032366
"KDM5C",-1.05726496056871
"THAP11",-1.05813261043521
"BRD3",-1.05884774860331
"HIRA",-1.06610359620756
"ZNF589",-1.06756441206237
"ZNF57",-1.06839565291124
"NUP98",-1.0755864495366
"SPI1",-1.08381488376659
"RNF2",-1.09147092451223
"CTNNB1",-1.11119265146938
