"","r.mean_z"
"NANOG",2.58475923934192
"H2AZ",2.33667446446553
"OTX2",2.30195846863808
"TEAD4",1.97646611242721
"YY1",1.92601318973709
"RAD21",1.91747535474249
"ZNF143",1.77446887685647
"TRIM28",1.69988707241936
"CTCF",1.64633784695251
"MAX",1.60467232540535
"SMARCA4",1.59957628648871
"EP300",1.55327558389013
"USF1",1.43683624690106
"SRF",1.33338268240594
"FOXP1",1.30476149746984
"NIPBL",1.28365494689274
"ATF2",1.13977480890569
"SP1",1.11505242323278
"JUND",1.04093269017663
"E2F6",0.872896455364732
"CREB1",0.845443547750509
"TCF12",0.81029325818794
"SSU72",0.666828692918315
"GABPA",0.61455663088724
"SIN3A",0.602116428871097
"POLR2A",0.599462491852623
"SP4",0.54569717445541
"REST",0.498995666336477
"CHD2",0.434972489438591
"MAFK",0.273700739971856
"SMC3",0.268268987503966
"TAF7",0.264867078950875
"TBP",0.234827442123926
"BACH1",0.144747388940491
"EGR1",0.116308179902687
"CTBP2",0.113627116065828
"POU5F1",0.0963209527520186
"MXI1",0.0340090842521847
"RBBP5",-0.0137525253169213
"HDAC2",-0.0279456593218813
"SMAD23",-0.0351146146830232
"FOXH1",-0.0499610912637265
"USF2",-0.118068820625052
"SMC1A",-0.126783404811077
"MYC",-0.156745311645084
"GTF2F1",-0.229688933221817
"CHD7",-0.278804094098892
"KDM4A",-0.283972099115973
"SMAD4",-0.291617518790182
"BRCA1",-0.295344896114692
"TAF1",-0.29765988207694
"SOX2",-0.303909905981936
"SAP30",-0.343341012768598
"SMAD2",-0.351540922224085
"PRDM14",-0.35728758703306
"LEF1",-0.383189024767546
"ATF3",-0.43003104607371
"ZNF274",-0.46327811101724
"ZNF486",-0.48855793675582
"RXRA",-0.490181023709246
"PHF8",-0.49842532530732
"SMAD3",-0.499449119387662
"BCL11A",-0.587090378118383
"TCF4",-0.591501465510764
"JUN",-0.591739858075334
"MED1",-0.593970679671688
"TAFII",-0.61808734734373
"RFX5",-0.634363626687591
"NRF1",-0.648287273067285
"EZH2",-0.701132676026314
"TAL1",-0.713794723934002
"SUZ12",-0.717108471887502
"CHD1",-0.71784396879955
"PRDM1",-0.741364034695517
"MORC2",-0.749253642565371
"SIX5",-0.753198493156543
"SMAD1",-0.753854700871908
"SP2",-0.770717480032431
"KDM5A",-0.773505756590933
"FOSL1",-0.830507335390764
"KLF5",-0.852260486647163
"FOXM1",-0.874501850586285
"BRD2",-0.890680057563386
"MPHOSPH8",-0.900837125468279
"TP53",-0.912002106908217
"TCF7L1",-0.913475562500632
"SOX9",-0.92403623467537
"SIRT6",-0.928802999288429
"HDAC6",-0.939094713164786
"BRD4",-0.942166286225964
"KDM5B",-0.942848384736311
"ZFP42",-0.944087042119502
"STAT3",-0.951544710160899
"KLF4",-0.956350437682038
"SALL4",-0.983842125691974
"HIST1H1B",-1.02098424411668
"NR5A2",-1.04073961784747
"KDM5C",-1.04363637281614
"BRD3",-1.04536285022412
"HIRA",-1.05256854256544
"ZNF589",-1.05406026082392
"ZNF57",-1.05485921189246
"NUP98",-1.06202011106117
"SPI1",-1.07024262178345
"RNF2",-1.07800381054543
"CTNNB1",-1.09768825212348
"THAP11",-1.15662206884281
"WAPL",-1.16008313532092
