"","mean_all","mean_threshold: 4","mean_threshold: 5","mean_threshold: 6"
"CTCF",1.6275997695341,1.62743319139936,1.63154945797626,1.62129197644133
"RAD21",1.89823779416144,1.84936861927037,1.86007193678824,1.85622547541767
"ATF2",1.12204043649024,0.938040781389826,0.926358718949185,0.927443994415689
"ATF3",-0.44479410714459,-0.48208295212451,-0.480058825580505,-0.466698078258986
"BACH1",0.128893910247881,0.0539330386874114,0.0498858831187451,0.0427217160443816
"BCL11A",-0.601468314365702,-0.659921854202777,-0.666135307032125,-0.66391408850369
"BRCA1",-0.310377173041153,-0.390806781864816,-0.387798604272385,-0.400390034019814
"BRD2",-0.904564682775911,-0.897245870958586,-0.881287662924314,-0.884975402231183
"BRD3",-1.05884774860331,-1.00028230829076,-1.01988130802093,-0.946739268435812
"BRD4",-0.95580764066917,-0.939489877259354,-0.9283058865625,-0.906899672390473
"CHD1",-0.732088411036884,-0.752353230701333,-0.758613553898045,-0.737414609216482
"CHD2",0.41859991123835,0.292398186187383,0.276409033436202,0.285223435250237
"CHD7",-0.293762097286102,-0.387204919433922,-0.389934927326417,-0.39175724295907
"CREB1",0.828269098084641,0.693051606724198,0.678181200058834,0.664507928799697
"CTBP2",0.0978459223901909,0.0313208797882962,0.0289585670313806,0.00777379487602333
"CTNNB1",-1.11119265146938,-1.02624276446896,-0.998772083259195,-1.03133273534036
"E2F6",0.855598546211591,0.774530920240063,0.766718450191908,0.749980949206383
"EGR1",0.100510801781329,0.0394296241680724,0.0216462269658339,0.0218996887606518
"EP300",1.53470165911411,1.37929135298577,1.36020801315595,1.3448436406945
"EZH2",-0.715340781066053,-0.727874614402364,-0.735039392836192,-0.722482324603704
"FOSL1",-0.844529076390382,-0.825784096568353,-0.832362818640889,-0.836935355930026
"FOXH1",-0.0654147938070684,-0.137508965291868,-0.145591839515352,-0.147154435670506
"FOXM1",-0.888378154613827,-0.881070030911096,-0.871962672489343,-0.890610387210694
"FOXP1",1.28662176900652,1.19753141133907,1.18283084596095,1.17432873264806
"GABPA",0.597776555548215,0.476565746893264,0.46480549301167,0.460539493234991
"GTF2F1",-0.244781413647136,-0.321580808208764,-0.319628360061049,-0.306026311574753
"H2AZ",2.31632751074858,2.3457939730475,2.35754529470886,2.34247876179218
"HDAC2",-0.0434623906280356,-0.0737309407810515,-0.0897341134677815,-0.10935922343814
"HDAC6",-0.952920644820704,-0.906822173038599,-0.954250391046658,-0.912913855928499
"HIRA",-1.06610359620756,-0.970853578869572,-0.990860745613042,-1.00857178597055
"HIST1H1B",-1.0345951224697,-0.971171279268039,-0.984903505522752,-0.972258580871545
"JUN",-0.606215186612974,-0.643963709516473,-0.641409092507226,-0.651095079215823
"JUND",1.0233562757724,0.864869070131248,0.853032215210247,0.84721168056024
"KDM4A",-0.299041793810722,-0.292868415118012,-0.309886240238804,-0.315156802363021
"KDM5A",-0.787626812153339,-0.793360755486346,-0.796384907770045,-0.799522967146443
"KDM5B",-0.956654711625065,-0.937782344062851,-0.927043022641861,-0.969438503633201
"KDM5C",-1.05726496056871,-1.01464844777188,-0.978186082745041,-1.05565521940113
"KLF4",-0.970000639874466,-0.947712835921884,-0.965620225891113,-1.02193214656413
"KLF5",-0.866228682426339,-0.867803184291097,-0.864988582781993,-0.867685074606952
"LEF1",-0.397967760367473,-0.469561619366033,-0.465430027566321,-0.472426632531968
"MAFK",0.257594830734988,0.19400699062924,0.189853683220678,0.19823948840563
"MAX",1.58598340046113,1.44564134444135,1.43717680947585,1.41000599680348
"MED1",-0.608351484496051,-0.674175546701699,-0.670232290272071,-0.650189656043745
"MORC2",-0.763358311570212,-0.768469921023062,-0.771917986938856,-0.782367833077297
"MPHOSPH8",-0.914626342075614,-0.913495033656928,-0.934789315468386,-0.940610959536631
"MXI1",0.0184237148026867,-0.0829460602927919,-0.0907814374708372,-0.0835687316413989
"MYC",-0.171973916758245,-0.257285947909863,-0.247857071978674,-0.250212440845654
"NANOG",2.56414964932455,2.4745913095049,2.4535069650862,2.43336218499064
"NIPBL",1.26566150903926,1.12117106541308,1.09058529124359,1.08076877346761
"NR5A2",-1.05446358032366,-0.949971641567868,-0.990149871795562,-0.953868473179763
"NRF1",-0.662644975272652,-0.679788864376442,-0.672008322221467,-0.671976603247321
"NUP98",-1.0755864495366,-0.998755343360992,-0.996399424349238,-1.01339625737215
"OTX2",2.2819166605401,2.15799889291605,2.13492762680652,2.11178619426283
"PHF8",-0.513101033998338,-0.496395993864986,-0.506790213895955,-0.507970754532566
"POLR2A",0.582837380920286,0.425748153981587,0.412691053110641,0.416048480757321
"POU5F1",0.0805932724372418,-0.00948427540742934,-0.015312952248369,-0.0275747950496744
"PRDM1",-0.75550809596677,-0.78490586051285,-0.788013345973025,-0.758203443539445
"PRDM14",-0.37214433402852,-0.397282410415839,-0.40410809362653,-0.401342158137618
"RBBP5",-0.0292991423954244,-0.0614949748755928,-0.0706122890138607,-0.102038929527043
"REST",0.482450156523878,0.400994100289994,0.39034660089458,0.3810578577527
"RFX5",-0.648732794033456,-0.69501513345766,-0.676631976062052,-0.670394431198629
"RNF2",-1.09147092451223,-1.01591894553649,-1.0221082860249,-1.01288189028888
"RXRA",-0.504749064664385,-0.532523956074489,-0.544258364676269,-0.534214252953221
"SALL4",-0.997409421882755,-0.95298712465192,-0.961322030584897,-0.973224494948347
"SAP30",-0.358256325888979,-0.392574461817223,-0.39443100998163,-0.406766856971493
"SIN3A",0.585412035347578,0.439961140693203,0.424805180463847,0.422387804058516
"SIRT6",-0.942504685775598,-0.950952112150465,-0.944622700276051,-0.960143013645321
"SIX5",-0.767366782802276,-0.758728883292125,-0.745384881926191,-0.75115043405495
"SMAD1",-0.768027163907605,-0.762540126075296,-0.760107264780384,-0.763326165540927
"SMAD2",-0.366426694528535,-0.407266384800195,-0.416212697843778,-0.41625829260835
"SMAD3",-0.514027994419783,-0.537119794906507,-0.537042312727905,-0.528634131668539
"SMAD4",-0.3066071180547,-0.387466579067903,-0.386573306072317,-0.384797427505432
"SMARCA4",1.58092473941251,1.39694395754177,1.38477380258223,1.37518410495489
"SMC1A",-0.142103851023282,-0.276667844625579,-0.260979137635427,-0.241698300452862
"SMC3",0.252205856743748,0.0602622332428047,0.0716351792430353,0.0965863231926822
"SOX2",-0.318893308464071,-0.410077623799439,-0.38755309283723,-0.398544204919175
"SOX9",-0.9378101591572,-0.917263057859045,-0.909557444036791,-0.925643113015215
"SP1",1.09733352432229,0.970034210464465,0.951710465798278,0.942508869945999
"SP2",-0.784896293045527,-0.786814546741538,-0.774337500917984,-0.77096845969986
"SP4",0.529101864272681,0.377027987773507,0.364679218519286,0.373646518687077
"SPI1",-1.08381488376659,-1.00135651346211,-1.00029564156756,-1.03272137878337
"SRF",1.31524091201314,1.10861255712141,1.12081617471203,1.12482445847797
"SSU72",0.650033419511447,0.498896442981752,0.494961219858915,0.496897545811301
"STAT3",-0.965222981438962,-0.967014203267624,-0.989399061246762,-0.89961132326635
"SUZ12",-0.73130134994501,-0.745726625024363,-0.743341919071613,-0.73613118795656
"TAF1",-0.312688296062617,-0.344382019395378,-0.351498820969236,-0.353293077181437
"TAF7",0.248822363534303,0.153595352816285,0.136482410320471,0.13297606481067
"TAFII",-0.632461686807401,-0.663738613615817,-0.659211114550196,-0.661041864768053
"TAL1",-0.72808542348695,-0.723100884832399,-0.74551176308847,-0.730482857339785
"TBP",0.21882824465813,0.13045469816574,0.118843408395674,0.113845564283466
"TCF12",0.793207005947181,0.683141199523656,0.662843035687649,0.647430520862539
"TCF4",-0.605885819490529,-0.660659947857279,-0.658561505571239,-0.65805371609843
"TCF7L1",-0.927289190790768,-0.908481028353527,-0.899475525544718,-0.911086799246703
"TEAD4",1.95705565579115,1.81278903205926,1.78363598233686,1.77520149749537
"THAP11",-1.05813261043521,-0.985749845140157,-0.979587304091569,-0.999557985542879
"TP53",-0.92582807873269,-0.905638471711499,-0.914436637555398,-0.922556820434879
"TRIM28",1.68086947439108,1.77480562738785,1.74517728985049,1.69955907565259
"USF1",1.41844666308516,1.35111647551631,1.33602523219284,1.32421375054392
"USF2",-0.133385127768116,-0.184780260564454,-0.188084566338451,-0.191237419326277
"WAPL",0.633091814967489,0.341974835709212,0.771281708109969,1.2178252764356
"YY1",1.90668442023405,1.77445079887689,1.75996045443494,1.72350207074923
"ZFP42",-0.957783639679952,-0.939310344400387,-0.946234440685125,-0.929760471905003
"ZNF143",1.75541061585792,1.61373446700959,1.60666589054234,1.59849759714077
"ZNF274",-0.477748952519271,-0.695554642771653,-0.64443256315518,-0.629029708636843
"ZNF486",-0.503307769564721,-0.43029906396069,-0.426939714334414,-0.465378375568481
"ZNF57",-1.06839565291124,-1.0012945043649,-1.00729891627743,-0.982511472770503
"ZNF589",-1.06756441206237,-0.994166123996538,-0.989525365825065,-1.02290483765913
