"Gene_symbol"	"   Genes"	"Freq"
"CTCF"	"CCCTC-binding factor (zinc finger protein)"	"2581"
"T"	"T, brachyury homolog (mouse)"	"167"
"MYC"	"v-myc myelocytomatosis viral oncogene homolog (avian)"	"136"
"IGF2"	"insulin-like growth factor 2 (somatomedin A)"	"120"
"TF"	"transferrin"	"98"
"TAL1"	"T-cell acute lymphocytic leukemia 1"	"96"
"AR"	"androgen receptor"	"91"
"EZH2"	"enhancer of zeste homolog 2 (Drosophila)"	"85"
"YY1"	"YY1 transcription factor"	"64"
"VDR"	"vitamin D (1,25- dihydroxyvitamin D3) receptor"	"63"
"AHR"	"aryl hydrocarbon receptor"	"60"
"CTCFL"	"CCCTC-binding factor (zinc finger protein)-like"	"58"
"STAT3"	"signal transducer and activator of transcription 3 (acute-phase response factor)"	"57"
"TCF21"	"transcription factor 21"	"48"
"DNMT1"	"DNA (cytosine-5-)-methyltransferase 1"	"46"
"ZEB1"	"zinc finger E-box binding homeobox 1"	"46"
"E2F1"	"E2F transcription factor 1"	"45"
"GATA1"	"GATA binding protein 1 (globin transcription factor 1)"	"45"
"CFTR"	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"	"43"
"PCNA"	"proliferating cell nuclear antigen"	"42"
"RUNX1"	"runt-related transcription factor 1"	"40"
"GC"	"group-specific component (vitamin D binding protein)"	"39"
"PARP1"	"poly (ADP-ribose) polymerase 1"	"39"
"MITF"	"microphthalmia-associated transcription factor"	"38"
"SOX2"	"SRY (sex determining region Y)-box 2"	"38"
"ATM"	"ataxia telangiectasia mutated"	"37"
"TCF4"	"transcription factor 4"	"37"
"SIRT1"	"sirtuin 1"	"32"
"PIP"	"prolactin-induced protein"	"31"
"RAD21"	"RAD21 homolog (S. pombe)"	"31"
"NUPR1"	"nuclear protein, transcriptional regulator, 1"	"30"
"TFE3"	"transcription factor binding to IGHM enhancer 3"	"30"
"ZNF143"	"zinc finger protein 143"	"30"
"HDAC3"	"histone deacetylase 3"	"28"
"ILF3"	"interleukin enhancer binding factor 3, 90kDa"	"28"
"NIPBL"	"Nipped-B homolog (Drosophila)"	"28"
"TERT"	"telomerase reverse transcriptase"	"28"
"BDNF"	"brain-derived neurotrophic factor"	"27"
"FOXA1"	"forkhead box A1"	"27"
"ASCL1"	"achaete-scute complex homolog 1 (Drosophila)"	"26"
"CCND1"	"cyclin D1"	"26"
"TCF3"	"transcription factor 3"	"26"
"GATA2"	"GATA binding protein 2"	"25"
"HES1"	"hairy and enhancer of split 1, (Drosophila)"	"25"
"HR"	"hair growth associated"	"24"
"BCL6"	"B-cell CLL/lymphoma 6"	"23"
"DEC1"	"deleted in esophageal cancer 1"	"23"
"EP300"	"E1A binding protein p300"	"23"
"FOXM1"	"forkhead box M1"	"23"
"IRF4"	"interferon regulatory factor 4"	"23"
"SET"	"SET nuclear oncogene"	"23"
"TWIST1"	"twist basic helix-loop-helix transcription factor 1"	"23"
"MLH1"	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	"22"
"NANOG"	"Nanog homeobox"	"22"
"TP53"	"tumor protein p53"	"22"
"CLOCK"	"clock circadian regulator"	"21"
"EGFR"	"epidermal growth factor receptor"	"21"
"EGR1"	"early growth response 1"	"21"
"FOXP3"	"forkhead box P3"	"21"
"TFEB"	"transcription factor EB"	"21"
"MYCN"	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	"20"
"POU5F1"	"POU class 5 homeobox 1"	"20"
"SOHLH1"	"spermatogenesis and oogenesis specific basic helix-loop-helix 1"	"20"
"AGO2"	"argonaute RISC catalytic component 2"	"19"
"BHLHE40"	"basic helix-loop-helix family, member e40"	"19"
"EPAS1"	"endothelial PAS domain protein 1"	"19"
"FGF21"	"fibroblast growth factor 21"	"19"
"LDB1"	"LIM domain binding 1"	"19"
"AXL"	"AXL receptor tyrosine kinase"	"18"
"CIB1"	"calcium and integrin binding 1 (calmyrin)"	"18"
"HEY1"	"hairy/enhancer-of-split related with YRPW motif 1"	"18"
"HOXA9"	"homeobox A9"	"18"
"KLF4"	"Kruppel-like factor 4 (gut)"	"18"
"LMO2"	"LIM domain only 2 (rhombotin-like 1)"	"18"
"NR2F2"	"nuclear receptor subfamily 2, group F, member 2"	"18"
"SATB1"	"SATB homeobox 1"	"18"
"SRF"	"serum response factor (c-fos serum response element-binding transcription factor)"	"18"
"THAP1"	"THAP domain containing, apoptosis associated protein 1"	"18"
"PC"	"pyruvate carboxylase"	"17"
"SMC3"	"structural maintenance of chromosomes 3"	"17"
"SUZ12"	"suppressor of zeste 12 homolog (Drosophila)"	"17"
"ASH1L"	"ash1 (absent, small, or homeotic)-like (Drosophila)"	"16"
"BRD4"	"bromodomain containing 4"	"16"
"ERG"	"v-ets erythroblastosis virus E26 oncogene homolog (avian)"	"16"
"HDAC1"	"histone deacetylase 1"	"16"
"NHS"	"Nance-Horan syndrome (congenital cataracts and dental anomalies)"	"16"
"TCF12"	"transcription factor 12"	"16"
"WT1"	"Wilms tumor 1"	"16"
"ATOH1"	"atonal homolog 1 (Drosophila)"	"15"
"EBF1"	"early B-cell factor 1"	"15"
"FOXF1"	"forkhead box F1"	"15"
"FOXO1"	"forkhead box O1"	"15"
"HMGB1"	"high mobility group box 1"	"15"
"KIT"	"v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog"	"15"
"MEF2D"	"myocyte enhancer factor 2D"	"15"
"NPAS4"	"neuronal PAS domain protein 4"	"15"
"RBPJ"	"recombination signal binding protein for immunoglobulin kappa J region"	"15"
"SIM2"	"single-minded homolog 2 (Drosophila)"	"15"
"BCR"	"breakpoint cluster region"	"14"
"CAD"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	"14"
"ELK3"	"ELK3, ETS-domain protein (SRF accessory protein 2)"	"14"
"ETV5"	"ets variant 5"	"14"
"GLCE"	"glucuronic acid epimerase"	"14"
"GPC3"	"glypican 3"	"14"
"KLF1"	"Kruppel-like factor 1 (erythroid)"	"14"
"MID1"	"midline 1 (Opitz/BBB syndrome)"	"14"
"SENP1"	"SUMO1/sentrin specific peptidase 1"	"14"
"SOHLH2"	"spermatogenesis and oogenesis specific basic helix-loop-helix 2"	"14"
"USF1"	"upstream transcription factor 1"	"14"
"ARNT"	"aryl hydrocarbon receptor nuclear translocator"	"13"
"ATF4"	"activating transcription factor 4 (tax-responsive enhancer element B67)"	"13"
"BCL2"	"B-cell CLL/lymphoma 2"	"13"
"CDX2"	"caudal type homeobox 2"	"13"
"CUX1"	"cut-like homeobox 1"	"13"
"CYP1B1"	"cytochrome P450, family 1, subfamily B, polypeptide 1"	"13"
"DICER1"	"dicer 1, ribonuclease type III"	"13"
"FOXO3"	"forkhead box O3"	"13"
"FXN"	"frataxin"	"13"
"KDM4A"	"lysine (K)-specific demethylase 4A"	"13"
"MEIS1"	"Meis homeobox 1"	"13"
"PITX2"	"paired-like homeodomain 2"	"13"
"PTOV1"	"prostate tumor overexpressed 1"	"13"
"RUNX2"	"runt-related transcription factor 2"	"13"
"TET2"	"tet methylcytosine dioxygenase 2"	"13"
"ATRX"	"alpha thalassemia/mental retardation syndrome X-linked"	"12"
"CD38"	"CD38 molecule"	"12"
"EBF2"	"early B-cell factor 2"	"12"
"FMR1"	"fragile X mental retardation 1"	"12"
"HSF1"	"heat shock transcription factor 1"	"12"
"HTT"	"huntingtin"	"12"
"ID4"	"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"	"12"
"INSM1"	"insulinoma-associated 1"	"12"
"IRF3"	"interferon regulatory factor 3"	"12"
"MDM2"	"MDM2 oncogene, E3 ubiquitin protein ligase"	"12"
"MSL2"	"male-specific lethal 2 homolog (Drosophila)"	"12"
"MXD1"	"MAX dimerization protein 1"	"12"
"NGB"	"neuroglobin"	"12"
"PNLIP"	"pancreatic lipase"	"12"
"SPRY2"	"sprouty homolog 2 (Drosophila)"	"12"
"STAG2"	"stromal antigen 2"	"12"
"XAF1"	"XIAP associated factor 1"	"12"
"CXCL12"	"chemokine (C-X-C motif) ligand 12"	"11"
"DEK"	"DEK oncogene"	"11"
"DNMT3A"	"DNA (cytosine-5-)-methyltransferase 3 alpha"	"11"
"JARID2"	"jumonji, AT rich interactive domain 2"	"11"
"KLF15"	"Kruppel-like factor 15"	"11"
"MED25"	"mediator complex subunit 25"	"11"
"MUC17"	"mucin 17, cell surface associated"	"11"
"NEUROG2"	"neurogenin 2"	"11"
"PGBD5"	"piggyBac transposable element derived 5"	"11"
"PLK1"	"polo-like kinase 1"	"11"
"PRC1"	"protein regulator of cytokinesis 1"	"11"
"RAD51AP1"	"RAD51 associated protein 1"	"11"
"RB1"	"retinoblastoma 1"	"11"
"SMAD3"	"SMAD family member 3"	"11"
"SPHK1"	"sphingosine kinase 1"	"11"
"VEGFA"	"vascular endothelial growth factor A"	"11"
"VRK1"	"vaccinia related kinase 1"	"11"
"ZFP57"	"ZFP57 zinc finger protein"	"11"
"ATR"	"ataxia telangiectasia and Rad3 related"	"10"
"CBS"	"cystathionine-beta-synthase"	"10"
"CDKN1C"	"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"	"10"
"CGGBP1"	"CGG triplet repeat binding protein 1"	"10"
"COMMD7"	"COMM domain containing 7"	"10"
"CREB1"	"cAMP responsive element binding protein 1"	"10"
"CYP1A1"	"cytochrome P450, family 1, subfamily A, polypeptide 1"	"10"
"DKK1"	"dickkopf 1 homolog (Xenopus laevis)"	"10"
"DMPK"	"dystrophia myotonica-protein kinase"	"10"
"DUSP2"	"dual specificity phosphatase 2"	"10"
"ETV2"	"ets variant 2"	"10"
"HHIP"	"hedgehog interacting protein"	"10"
"HMGA2"	"high mobility group AT-hook 2"	"10"
"ITGA6"	"integrin, alpha 6"	"10"
"JUN"	"jun proto-oncogene"	"10"
"MIIP"	"migration and invasion inhibitory protein"	"10"
"NKX2-1"	"NK2 homeobox 1"	"10"
"NNAT"	"neuronatin"	"10"
"NONO"	"non-POU domain containing, octamer-binding"	"10"
"PEG3"	"paternally expressed 3"	"10"
"PTEN"	"phosphatase and tensin homolog"	"10"
"PTHLH"	"parathyroid hormone-like hormone"	"10"
"RCAN1"	"regulator of calcineurin 1"	"10"
"SIK1"	"salt-inducible kinase 1"	"10"
"SIX1"	"SIX homeobox 1"	"10"
"SOX4"	"SRY (sex determining region Y)-box 4"	"10"
"STAT4"	"signal transducer and activator of transcription 4"	"10"
"TWIST2"	"twist basic helix-loop-helix transcription factor 2"	"10"
"USF2"	"upstream transcription factor 2, c-fos interacting"	"10"
"VHL"	"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase"	"10"
"APC"	"adenomatous polyposis coli"	"9"
"ATOH8"	"atonal homolog 8 (Drosophila)"	"9"
"CLDN1"	"claudin 1"	"9"
"CREBBP"	"CREB binding protein"	"9"
"DLL4"	"delta-like 4 (Drosophila)"	"9"
"FOXK2"	"forkhead box K2"	"9"
"FOXP1"	"forkhead box P1"	"9"
"LHX6"	"LIM homeobox 6"	"9"
"LMO3"	"LIM domain only 3 (rhombotin-like 2)"	"9"
"LRP6"	"low density lipoprotein receptor-related protein 6"	"9"
